p,N,beta,method,x_eval,u_exact_dd,u_h_dd
2,2,1.55,uniform,4.010572880855496e-06,228.69227872752688,1.6892223211557864
2,2,1.55,uniform,4.1041805029047085e-06,226.3301878374744,1.6892223211557864
2,2,1.55,uniform,4.199972946715306e-06,223.99249424410328,1.6892223211557864
2,2,1.55,uniform,4.2980012064907985e-06,221.67894595538073,1.6892223211557864
2,2,1.55,uniform,4.398317466650228e-06,219.38929358202046,1.6892223211557864
2,2,1.55,uniform,4.500975129608051e-06,217.1232903106001,1.6892223211557864
2,2,1.55,uniform,4.606028844202398e-06,214.880691876956,1.6892223211557864
2,2,1.55,uniform,4.713534534786907e-06,212.66125653985188,1.6892223211557864
2,2,1.55,uniform,4.823549431001467e-06,210.46474505492154,1.6892223211557864
2,2,1.55,uniform,4.9361320982379165e-06,208.29092064887868,1.6892223211557864
2,2,1.55,uniform,5.0513424688167665e-06,206.13954899399408,1.6892223211557864
2,2,1.55,uniform,5.169241873891593e-06,204.0103981828364,1.6892223211557864
2,2,1.55,uniform,5.2898930760981455e-06,201.90323870327302,1.6892223211557864
2,2,1.55,uniform,5.413360302965376e-06,199.8178434137306,1.6892223211557864
2,2,1.55,uniform,5.539709281106401e-06,197.75398751870995,1.6892223211557864
2,2,1.55,uniform,5.669007271207434e-06,195.71144854455403,1.6892223211557864
2,2,1.55,uniform,5.801323103833378e-06,193.69000631546655,1.6892223211557864
2,2,1.55,uniform,5.936727216069126e-06,191.68944292977798,1.6892223211557864
2,2,1.55,uniform,6.075291689016077e-06,189.70954273645688,1.6892223211557864
2,2,1.55,uniform,6.217090286163833e-06,187.7500923118638,1.6892223211557864
2,2,1.55,uniform,6.362198492657495e-06,185.8108804367451,1.6892223211557864
2,2,1.55,uniform,6.510693555481454e-06,183.89169807346488,1.6892223211557864
2,2,1.55,uniform,6.662654524581149e-06,181.99233834347092,1.6892223211557864
2,2,1.55,uniform,6.818162294944479e-06,180.11259650499528,1.6892223211557864
2,2,1.55,uniform,6.9772996496655375e-06,178.25226993098337,1.6892223211557864
2,2,1.55,uniform,7.140151304013403e-06,176.41115808725203,1.6892223211557864
2,2,1.55,uniform,7.306803950529492e-06,174.58906251087296,1.6892223211557864
2,2,1.55,uniform,7.477346305177581e-06,172.7857867887788,1.6892223211557864
2,2,1.55,uniform,7.651869154570818e-06,171.00113653659164,1.6892223211557864
2,2,1.55,uniform,7.830465404301182e-06,169.2349193776689,1.6892223211557864
2,2,1.55,uniform,8.013230128396886e-06,167.4869449223658,1.6892223211557864
2,2,1.55,uniform,8.20026061993413e-06,165.75702474751287,1.6892223211557864
2,2,1.55,uniform,8.391656442830162e-06,164.0449723761042,1.6892223211557864
