# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FIXED val subset size=8 seed=0 vs immersed IGA self-reference (cache=/scratch/ecaru/repo_pro/references/reference_lshape.pkl)
iteration,train_loss,val_eta2,h1_rel_val_median
271,1.416619e-01,1.485902e-01,1.047057e-02
272,1.424111e-01,1.485162e-01,1.042807e-02
273,1.426103e-01,1.484475e-01,1.045331e-02
274,1.421856e-01,1.483826e-01,1.042777e-02
275,1.428081e-01,1.483687e-01,1.039952e-02
276,1.412764e-01,1.482569e-01,1.041791e-02
277,1.422376e-01,1.482372e-01,1.040688e-02
278,1.418803e-01,1.481620e-01,1.041872e-02
279,1.424370e-01,1.481129e-01,1.041222e-02
280,1.415662e-01,1.480554e-01,1.040871e-02
281,1.425549e-01,1.480119e-01,1.040441e-02
282,1.412204e-01,1.480244e-01,1.040089e-02
283,1.417109e-01,1.479621e-01,1.037775e-02
284,1.417919e-01,1.478955e-01,1.037938e-02
285,1.421652e-01,1.478412e-01,1.036638e-02
286,1.414156e-01,1.478100e-01,1.038512e-02
287,1.412289e-01,1.477939e-01,1.038597e-02
288,1.418598e-01,1.477476e-01,1.036854e-02
289,1.414901e-01,1.477227e-01,1.035458e-02
290,1.412419e-01,1.476927e-01,1.036946e-02
291,1.423317e-01,1.476674e-01,1.034482e-02
292,1.416043e-01,1.476317e-01,1.035457e-02
293,1.405330e-01,1.475853e-01,1.032610e-02
294,1.419104e-01,1.475822e-01,1.032543e-02
295,1.413533e-01,1.475456e-01,1.031587e-02
296,1.415542e-01,1.475090e-01,1.032554e-02
297,1.416763e-01,1.475046e-01,1.035555e-02
298,1.413986e-01,1.474739e-01,1.031255e-02
299,1.413262e-01,1.474583e-01,1.034228e-02
300,1.418778e-01,1.473911e-01,1.030957e-02
301,1.414155e-01,1.473741e-01,1.030241e-02
302,1.415963e-01,1.473517e-01,1.032378e-02
303,1.411360e-01,1.473285e-01,1.032469e-02
304,1.413183e-01,1.473242e-01,1.031222e-02
305,1.400377e-01,1.472840e-01,1.032207e-02
306,1.413506e-01,1.473140e-01,1.032158e-02
307,1.406646e-01,1.473269e-01,1.030131e-02
